<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
2023.01.23,7:00:00,1.08948,1.08984,1.08901,1.08922,1769
2023.01.23,8:00:00,1.08922,1.0913,1.08874,1.09007,3295
2023.01.23,9:00:00,1.09007,1.09267,1.08923,1.09144,6271
2023.01.23,10:00:00,1.09142,1.09157,1.08934,1.08999,6431
2023.01.23,11:00:00,1.08999,1.09204,1.08932,1.09118,4637
2023.01.23,12:00:00,1.09118,1.09153,1.08956,1.08992,4563
2023.01.23,13:00:00,1.08992,1.09025,1.0879,1.08815,4788
2023.01.23,14:00:00,1.08815,1.0883,1.08669,1.08711,5556
2023.01.23,15:00:00,1.08714,1.08779,1.08532,1.08589,6828
2023.01.23,16:00:00,1.08589,1.08683,1.08464,1.08619,8230
2023.01.23,17:00:00,1.0862,1.08692,1.0847,1.08645,8703
2023.01.23,18:00:00,1.08645,1.0876,1.08599,1.0864,7024
2023.01.23,19:00:00,1.0864,1.08651,1.08567,1.08624,4052
2023.01.23,20:00:00,1.08625,1.08732,1.08623,1.08664,3440
2023.01.23,21:00:00,1.08665,1.08674,1.08478,1.08591,4787
2023.01.23,22:00:00,1.08591,1.08685,1.08572,1.08683,5138
2023.01.23,23:00:00,1.08681,1.08718,1.08651,1.08715,1353
2023.01.24,0:00:00,1.08705,1.08715,1.0867,1.08691,294
2023.01.24,1:00:00,1.08689,1.08756,1.08673,1.08711,1211
2023.01.24,2:00:00,1.08711,1.08748,1.08674,1.08736,1270
2023.01.24,3:00:00,1.08737,1.08826,1.08718,1.08809,1168
2023.01.24,4:00:00,1.08807,1.0883,1.08775,1.08791,878
2023.01.24,5:00:00,1.08785,1.08801,1.08731,1.08746,933
2023.01.24,6:00:00,1.08746,1.08765,1.08694,1.08764,1140
2023.01.24,7:00:00,1.08768,1.08827,1.08756,1.08784,1063
2023.01.24,8:00:00,1.08784,1.08919,1.08776,1.08879,2000
2023.01.24,9:00:00,1.08879,1.0898,1.08834,1.08888,4142
2023.01.24,10:00:00,1.08888,1.0896,1.08666,1.08749,5485
2023.01.24,11:00:00,1.08747,1.08832,1.08519,1.08609,6234
2023.01.24,12:00:00,1.08605,1.08665,1.08522,1.0864,4626
2023.01.24,13:00:00,1.0864,1.08759,1.08537,1.08667,3576
